respondent_id,Timestamp,gender,age_group,city,primary_app,shopping_frequency,uses_wishlist,wishlist_item_count,why_wishlist,intend_to_buy_eventually,percentage_purchased,how_often_checks_wishlist,why_remove_without_buying,what_stops_purchase,purchase_triggers,gets_notifications,desired_non_discount_features,suggestions_or_experience
R01,8/28/2026 16:15:42,Female,26-39,Kolkata,Myntra,Few times a year,"Yes, regularly",6-15,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock",Mostly,10%,I only see it when adding something new,"Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, Price hasn't dropped, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","No, I don't think I get any","Better Sizing Guide, Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops",
R02,8/29/2026 17:17:08,Female,26-39,Kolkata,Myntra,Few times a year,I've used it once or twice,1-5,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion",Sometimes,10%,"Rarely, I mostly forget it exists","No longer wanted/needed it, It went out of stock or my size unavailable","Unsure of Quality / Reviews, Unsure about Fit & Size, Unsure about Color / Styling, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event","Yes, but I usually ignore them","Better Product Pictures, Easier way to compare 2–3 wishlisted items side-by-side, Alerts when price drops, Seeing how others styled/reviewed the item",
R03,8/27/2026 17:32:26,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, regularly",30+,Saving for Future Occasion,Always,100%,"Often, I browse it regularly",No longer wanted/needed it,Item went out of stock / my size is unavailable,"Price Drop, Upcoming Event","Yes, I find them useful","Alerts when price drops, Alerts when my size is back in stock, Seeing how others styled/reviewed the item",
R04,8/29/2026 18:52:08,Male,18-25,Kolkata,Myntra,Few times a year,"Yes, sometimes",1-5,Comparing with Other Options,Mostly,25%,Only when I get a notification,It went out of stock or my size unavailable,Price hasn't dropped,Got reminded / Notified,"Yes, but I usually ignore them","A smarter, decluttered wishlist (auto-sort by likelihood to buy, or by occasion)",
R05,8/29/2026 20:19:26,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",1-5,Saving for Future Occasion,Sometimes,10%,I only see it when adding something new,"No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up","Item went out of stock / my size is unavailable, Too many items in my wishlist — I don't know where to start","Price Drop, Upcoming Event, Positive Reviews","Yes, but I usually ignore them",Alerts when price drops,
R06,8/27/2026 12:37:51,Female,18-25,Bengaluru,hnm,Few times a year,"Yes, regularly",6-15,"Comparing with Other Options, Waiting for Price Drop, Unsure about Fit & Size, Saving for Future Occasion, Waiting to Restock",Mostly,75%,I only see it when adding something new,I never removed items from my wishlist,"Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event","No, I don't think I get any",Better Product Pictures,
R07,8/27/2026 13:12:18,Female,18-25,Kolkata,Myntra,Monthly,"Yes, regularly",30+,"Comparing with Other Options, Saving for Future Occasion, Waiting to Restock",Mostly,50%,Only when I get a notification,"No longer wanted/needed it, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Unsure about Color / Styling","Price Drop, Upcoming Event, Got reminded / Notified","Yes, but I usually ignore them","Better Sizing Guide, Alerts when price drops, Alerts when my size is back in stock",
R08,8/26/2026 8:31:08,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, sometimes",6-15,"Comparing with Other Options, Saving for Future Occasion, Waiting to Restock",Mostly,25%,Only when I get a notification,"Found it cheaper elsewhere, No longer wanted/needed it, It went out of stock or my size unavailable, Price never dropped, gave up waiting","Price hasn't dropped, I forget the item is even in my wishlist, Item went out of stock / my size is unavailable, I lost interest / no longer need it","Price Drop, Upcoming Event, Positive Reviews","Yes, I find them useful","Alerts when price drops, Alerts when my size is back in stock",
R09,8/27/2026 13:06:00,Female,18-25,Kolkata,Myntra,Few times a year,"Yes, regularly",16-30,"Comparing with Other Options, Waiting for Price Drop, Saving for Future Occasion",Mostly,25%,I only see it when adding something new,"Found it cheaper elsewhere, It went out of stock or my size unavailable, Wishlist got too cluttered, so I cleaned it up, Price never dropped, gave up waiting","Unsure of Quality / Reviews, Unsure about Color / Styling, I lost interest / no longer need it","Upcoming Event, Positive Reviews","Yes, I find them useful","Alerts when price drops, Seeing how others styled/reviewed the item",
R10,8/28/2026 3:29:51,Female,Under 18,Kolkata,Myntra,Few times a year,"Yes, regularly",1-5,Saving for Future Occasion,Mostly,75%,"Often, I browse it regularly",No longer wanted/needed it,Unsure of Quality / Reviews,"Upcoming Event, ","No, I don't think I get any",Better Product Pictures,
